,description,actions,goal
Champions,Ваши лучшие клиенты,"['Персональные предложения', 'Программа лояльности', 'Эксклюзивный доступ']",Удержать и увеличить лояльность
Loyal Customers,Постоянные лояльные клиенты,"['Перекрестные продажи', 'Скидки за лояльность', 'Ранний доступ к новинкам']",Повысить до Champions
New Customers,Недавно присоединившиеся клиенты,"['Приветственная программа', 'Образовательный контент', 'Специальные предложения']",Повысить частоту покупок
Potential Loyalists,Клиенты с потенциалом роста,"['Персонализированные рекомендации', 'Стимулы для повторных покупок']",Увеличить частоту и сумму покупок
High Value New Customers,Новые клиенты с высокими чеками,"['VIP обслуживание', 'Персональный менеджер', 'Эксклюзивные предложения']",Быстро перевести в лояльные
Need Attention,"Клиенты, требующие внимания","['Реактивационные кампании', 'Специальные акции', 'Опросы удовлетворенности']",Вернуть в активные
About To Sleep,"Клиенты, которые скоро уйдут","['Срочные акции', 'Напоминания', 'Специальные условия']",Предотвратить уход
At Risk,Клиенты с риском ухода,"['Восстановительные кампании', 'Скидки на любимые товары', 'Опрос причин']",Вернуть активность
Cannot Lose Them,Ценные клиенты с риском ухода,"['Персональные обращения', 'Специальные условия', 'Анализ причин']",Срочно вернуть и удержать
High Risk High Value,Ценные но неактивные клиенты,"['VIP реактивация', 'Персональные предложения', 'Анализ поведения']",Вернуть активность ценных клиентов
Low Engagement,Малоактивные клиенты,"['Образовательный контент', 'Напоминания', 'Стимулы для покупок']",Повысить вовлеченность
Lost Customers,Ушедшие клиенты,"['Анализ причин ухода', 'Специальные условия возврата', 'Опросы']",Вернуть или извлечь уроки
Others,Остальные клиенты,"['Стандартный маркетинг', 'Общий анализ']",Сегментировать более точно
